order_id,customer_email,order_timestamp,gross_amount,discount_amount,net_amount,channel,status
ORD00000020,aiden.wright267@yahoo.com,2026-03-31T17:14:10,159.35,0.0,159.35,email,completed
ORD00000021,taylor.rossi1788@icloud.com,2025-08-29T03:07:02,112.69,11.27,101.42,paid_search,completed
ORD00000022,Hayden.Rodriguez1774@outlook.com,2024-10-16T20:32:43,150.1,0.0,150.1,referral,completed
ORD00000023,theo.nakamura382@icloud.com,2024-02-06T03:20:54,239.0,23.9,215.1,social,completed
ORD00000024,cameron.torres1050@protonmail.com,2026-04-03T21:03:55,184.25,0.0,184.25,paid_search,completed
ORD00000025,hana.patel1428@duck.com,2024-10-04T05:16:14,293.19,0.0,293.19,email,completed
ORD00000026,morgan.sanchez1703@outlook.com,2025-06-12T01:28:19,27.58,0.0,27.58,email,completed
ORD00000027,Wei.Young1566@duck.com,2024-10-28T21:06:25,292.56,0.0,292.56,direct,completed
ORD00000028,Diego.Lopez454@outlook.com,2024-06-07T17:23:05,45.17,9.03,36.14,social,completed
ORD00000029,KENDALL.CHEN1242@GMAIL.COM,2025-01-09T12:43:20,213.76,0.0,213.76,social,shipped
ORD00000030,stella.chen462@hey.com,2025-09-23T16:53:46,301.36,0.0,301.36,organic_search,delivered
ORD00000031,Avery.Lewis1017@yahoo.com,2025-05-23T15:53:15,347.13,0.0,347.13,social,shipped
ORD00000032,Elena.Mueller1475@fastmail.com,2024-01-14T00:30:06,18.58,0.0,18.58,paid_search,completed
ORD00000033,Sana.Martinez685@gmail.com,2024-06-23T00:12:28,199.16,39.83,159.33,direct,completed
ORD00000034,hayden.moore683@protonmail.com,2026-02-11T14:36:49,103.4,0.0,103.4,direct,shipped
ORD00000035,kai.khan900035@icloud.com,2025-06-21T04:04:53,59.87,0.0,59.87,organic_search,completed
ORD00000036,nora.mueller1783@protonmail.com,2025-03-21T14:01:39,51.47,0.0,51.47,paid_search,delivered
ORD00000037,hana.green1716@outlook.com,2024-08-04T09:14:37,268.43,26.84,241.59,paid_search,completed
ORD00000038,stella.flores900038@yahoo.com,2025-12-02T01:22:58,107.13,0.0,107.13,social,completed
ORD00000039,diego.mueller900039@protonmail.com,2026-04-12T19:26:39,151.43,0.0,151.43,email,completed
ORD00000040,kendall.harris1916@hey.com,2025-11-07T07:48:59,338.71,0.0,338.71,direct,completed
ORD00000041,Morgan.Clark873@fastmail.com,2024-01-28T21:55:35,329.51,0.0,329.51,organic_search,completed
ORD00000042,Owen.Moore814@duck.com,2024-05-17T07:02:08,289.09,0.0,289.09,social,shipped
ORD00000043,Mateo.Robinson1925@protonmail.com,2024-06-04T06:14:50,334.18,0.0,334.18,email,completed
ORD00000044,luna.gonzalez880@protonmail.com,2024-10-11T21:47:34,161.14,0.0,161.14,social,shipped
ORD00000045,casey.moore1149@hey.com,2024-08-09T12:21:23,223.09,44.62,178.47,email,completed
ORD00000046,Logan.Perez622@yahoo.com,2024-01-08T16:53:07,280.93,28.09,252.84,paid_search,completed
ORD00000047,AIDEN.SANCHEZ1366@GMAIL.COM,2026-04-01T03:55:59,60.73,0.0,60.73,paid_search,completed
ORD00000048,jamie.thompson254@yahoo.com,2025-07-29T15:35:00,166.26,0.0,166.26,direct,delivered
ORD00000049,maya.patel1156@yahoo.com,2024-04-10T17:24:27,284.1,0.0,284.1,direct,completed
ORD00000050,EMERSON.DAVIS927@PROTONMAIL.COM,2024-09-14T06:03:15,149.96,29.99,119.97,referral,shipped
ORD00000051,Mira.Wilson1172@yahoo.com,2025-04-05T11:01:40,293.14,58.63,234.51,direct,shipped
ORD00000052,rowan.khan1069@duck.com,2026-04-11T12:06:38,277.48,55.5,221.98,social,delivered
ORD00000053,mateo.johnson676@gmail.com,2025-04-02T08:18:26,22.13,4.43,17.7,email,completed
ORD00000054,Reese.Davis900054@yahoo.com,2024-12-12T11:04:59,113.63,0.0,113.63,social,delivered
ORD00000055,SAM.RAMIREZ900055@GMAIL.COM,2026-01-04T17:52:52,66.93,0.0,66.93,social,completed
ORD00000056,Avery.Davis356@hey.com,2025-04-25T19:03:42,203.16,0.0,203.16,direct,completed
ORD00000057,SANA.SINGH1233@OUTLOOK.COM,2025-01-13T23:33:17,316.0,63.2,252.8,paid_search,delivered
ORD00000058,Diego.Kim1712@icloud.com,2025-03-18T06:26:18,292.38,0.0,292.38,social,completed
ORD00000059,diego.nguyen900059@hey.com,2024-08-16T17:35:36,151.09,0.0,151.09,direct,shipped
ORD00000060,Leo.Wilson191@protonmail.com,2025-08-17T02:10:07,206.93,0.0,206.93,social,completed
ORD00000061,Morgan.Thomas986@hey.com,2024-06-01T15:07:44,240.12,0.0,240.12,paid_search,completed
ORD00000062,Priya.Hernandez1891@fastmail.com,2025-01-26T08:39:04,297.51,0.0,297.51,social,completed
ORD00000063,emerson.moore1583@outlook.com,2026-03-01T18:03:38,106.09,0.0,106.09,organic_search,completed
ORD00000064,ivan.cohen458@hey.com,2026-03-09T07:31:43,160.47,16.05,144.42,social,completed
ORD00000065,rowan.nakamura1563@gmail.com,2024-11-09T21:17:36,40.14,0.0,40.14,direct,completed
ORD00000066,leo.kim135@duck.com,2024-03-27T23:19:07,220.04,0.0,220.04,organic_search,delivered
ORD00000067,riley.patel1510@yahoo.com,2025-12-04T22:10:05,151.61,0.0,151.61,referral,delivered
ORD00000068,mira.ramirez900068@yahoo.com,2025-07-26T05:29:44,88.87,0.0,88.87,email,test
ORD00000069,drew.lopez906@hey.com,2025-08-29T23:46:02,69.37,6.94,62.43,paid_search,shipped
ORD00000070,zoe.walker1221@yahoo.com,2024-01-31T05:36:50,201.08,0.0,201.08,referral,shipped
ORD00000071,Sam.Lopez900071@outlook.com,2025-02-13T09:42:08,22.62,4.52,18.1,referral,completed
ORD00000072,reese.wilson900072@duck.com,2024-07-25T02:08:04,334.65,0.0,334.65,email,completed
ORD00000073,CASEY.JACKSON1875@DUCK.COM,2024-06-17T21:07:30,171.51,0.0,171.51,social,test
ORD00000074,TAYLOR.LOPEZ1841@DUCK.COM,2024-06-06T22:01:52,41.33,0.0,41.33,organic_search,completed
ORD00000075,Aiden.Flores487@duck.com,2025-05-08T14:48:00,59.34,5.93,53.41,direct,completed
ORD00000076,mira.moore389@yahoo.com,2024-04-25T11:26:53,313.62,62.72,250.9,email,delivered
ORD00000077,mateo.rodriguez1968@hey.com,2025-05-16T19:09:28,31.01,3.1,27.91,email,completed
ORD00000078,HANA.ROSSI583@PROTONMAIL.COM,2025-01-02T09:38:20,166.33,0.0,166.33,organic_search,delivered
ORD00000079,IVAN.COHEN290@DUCK.COM,2026-02-15T04:36:42,238.54,0.0,238.54,paid_search,completed
ORD00000080,kendall.moore1798@icloud.com,2026-04-13T00:37:30,292.15,0.0,292.15,referral,delivered
ORD00000081,Wei.Lopez900081@fastmail.com,2026-02-02T05:12:34,277.77,55.55,222.22,social,shipped
ORD00000082,Hayden.Allen474@yahoo.com,2026-04-17T20:47:40,96.41,0.0,96.41,direct,completed
ORD00000083,sam.adams693@outlook.com,2025-11-29T11:54:57,336.52,0.0,336.52,social,delivered
ORD00000084,kendall.lewis1303@icloud.com,2024-07-03T20:27:13,166.95,0.0,166.95,social,shipped
ORD00000085,elena.rodriguez829@duck.com,2024-08-15T15:33:45,303.13,0.0,303.13,email,shipped
ORD00000086,parker.mueller172@duck.com,2024-09-22T13:06:54,75.45,0.0,75.45,email,completed
ORD00000087,sana.patel900087@fastmail.com,2025-06-04T11:36:26,195.59,19.56,176.03,organic_search,shipped
ORD00000088,emerson.mueller1500@duck.com,2024-09-27T15:11:45,39.37,7.87,31.5,paid_search,shipped
ORD00000089,ivan.flores900089@gmail.com,2026-04-09T22:38:16,273.81,0.0,273.81,paid_search,delivered
ORD00000090,riley.garcia1604@fastmail.com,2024-01-26T02:43:21,334.28,0.0,334.28,organic_search,completed
ORD00000091,diego.rossi900091@icloud.com,2026-04-22T09:45:01,160.11,32.02,128.09,referral,delivered
ORD00000092,Mira.Martinez900092@protonmail.com,2025-06-08T15:08:59,298.46,59.69,238.77,direct,completed
ORD00000093,blair.hill580@duck.com,2026-04-27T16:53:12,185.02,0.0,185.02,referral,completed
ORD00000094,jordan.nguyen366@outlook.com,2026-04-25T00:37:50,149.55,14.96,134.59,social,completed
ORD00000095,drew.rossi1260@duck.com,2025-08-14T00:08:25,276.38,55.28,221.1,organic_search,shipped
ORD00000096,owen.perez1089@protonmail.com,2026-04-21T22:21:32,65.22,13.04,52.18,direct,delivered
ORD00000097,casey.clark1731@gmail.com,2024-07-20T03:38:40,122.24,24.45,97.79,paid_search,completed
ORD00000098,owen.perez1089@protonmail.com,2026-03-25T14:33:20,15.22,0.0,15.22,referral,completed
ORD00000099,cameron.wright1424@hey.com,2024-02-16T10:40:08,237.3,0.0,237.3,social,delivered
ORD00000100,ezra.patel935@icloud.com,2024-02-17T14:07:24,240.46,0.0,240.46,email,completed
ORD00000101,Leo.Lewis701@hey.com,2025-02-20T19:47:08,99.15,19.83,79.32,social,shipped
ORD00000102,Zoe.Martin722@protonmail.com,2025-04-01T23:13:27,77.21,0.0,77.21,referral,delivered
ORD00000103,stella.perez1734@protonmail.com,2025-08-30T23:54:13,293.15,0.0,293.15,paid_search,delivered
ORD00000104,rowan.clark900104@yahoo.com,2025-05-24T08:16:38,77.51,0.0,77.51,referral,shipped
ORD00000105,blair.lewis1935@duck.com,2024-09-17T11:32:18,339.49,0.0,339.49,social,completed
ORD00000106,nora.davis455@gmail.com,2025-07-28T20:32:03,49.24,9.85,39.39,organic_search,shipped
ORD00000107,RAVI.HILL52@FASTMAIL.COM,2026-01-30T14:48:29,188.84,18.88,169.96,direct,delivered
ORD00000108,Kendall.Smith998@fastmail.com,2025-03-22T07:29:50,291.33,0.0,291.33,organic_search,delivered
ORD00000109,Sana.Allen1383@outlook.com,2024-04-25T17:55:14,325.32,0.0,325.32,social,completed
ORD00000110,Rowan.Clark1068@gmail.com,2025-06-02T06:04:25,209.96,0.0,209.96,organic_search,completed
ORD00000111,devon.anderson629@icloud.com,2025-04-01T04:03:54,166.98,0.0,166.98,email,completed
ORD00000112,reese.rodriguez749@hey.com,2024-11-29T03:55:53,288.88,28.89,259.99,referral,delivered
ORD00000113,diego.rossi1635@icloud.com,2025-05-07T22:33:21,30.34,6.07,24.27,email,completed
ORD00000114,Maya.Robinson1317@fastmail.com,2025-03-16T08:51:20,333.38,0.0,333.38,organic_search,completed
ORD00000115,drew.rossi1260@duck.com,2024-07-08T13:00:01,248.19,49.64,198.55,social,delivered
ORD00000116,Taylor.Thompson269@outlook.com,2024-01-11T10:46:59,106.01,0.0,106.01,paid_search,delivered
ORD00000117,blair.smith1570@yahoo.com,2024-09-09T21:13:59,313.21,0.0,313.21,direct,shipped
ORD00000118,mira.johnson1956@hey.com,2026-02-25T17:25:50,154.2,15.42,138.78,direct,completed
ORD00000119,sam.nakamura283@duck.com,2025-06-08T21:28:18,185.92,0.0,185.92,direct,delivered
ORD00000120,Sam.Thomas744@duck.com,2025-05-07T22:49:06,278.85,55.77,223.08,email,completed
ORD00000121,AMARA.LEWIS1258@FASTMAIL.COM,2024-05-08T21:38:21,-287.16,0.0,-258.44,email,refunded
ORD00000122,alex.williams900122@gmail.com,2025-04-21T15:52:18,139.79,0.0,139.79,direct,completed
ORD00000123,amara.anderson484@duck.com,2024-06-28T18:51:33,282.77,0.0,282.77,organic_search,completed
ORD00000124,hana.thompson69@hey.com,2025-10-23T06:36:22,201.11,0.0,201.11,referral,completed
ORD00000125,zoe.adams1064@outlook.com,2025-08-18T01:47:37,144.25,28.85,115.4,referral,shipped
ORD00000126,diego.thomas900126@hey.com,2025-11-16T04:03:04,255.99,0.0,255.99,referral,completed
ORD00000127,quinn.martin1732@icloud.com,2024-09-17T12:38:33,322.95,0.0,322.95,paid_search,completed
ORD00000128,Cameron.Harris1649@icloud.com,2026-04-24T02:06:17,285.59,0.0,285.59,referral,completed
ORD00000129,kendall.chen1242@gmail.com,2024-01-12T00:07:16,225.02,45.0,180.02,organic_search,completed
ORD00000130,zoe.adams1064@outlook.com,2025-02-11T14:37:19,179.0,0.0,179.0,referral,completed
ORD00000131,Nora.Williams338@gmail.com,2025-09-19T15:09:25,188.76,0.0,188.76,referral,completed
ORD00000132,leo.chen983@hey.com,2025-02-08T10:12:12,265.19,0.0,265.19,direct,shipped
ORD00000133,Priya.Hernandez316@duck.com,2024-02-20T18:54:44,124.02,24.8,99.22,organic_search,shipped
ORD00000134,yuki.ramirez1346@fastmail.com,2024-06-07T20:09:15,146.49,29.3,117.19,paid_search,completed
ORD00000135,theo.wright359@duck.com,2024-11-30T02:20:08,81.44,0.0,81.44,direct,completed
ORD00000136,priya.perez900136@yahoo.com,2024-11-28T14:10:13,263.23,0.0,263.23,organic_search,completed
ORD00000137,luna.gonzalez1198@yahoo.com,2025-04-16T00:03:40,94.15,18.83,75.32,paid_search,completed
ORD00000138,Sam.Thomas744@duck.com,2025-01-14T20:24:36,279.43,55.89,223.54,paid_search,completed
ORD00000139,nora.clark250@hey.com,2025-12-20T06:54:51,261.93,26.19,235.74,paid_search,shipped
ORD00000140,mira.scott1929@duck.com,2025-05-31T17:07:40,102.45,0.0,102.45,direct,shipped
ORD00000141,nora.mueller1484@gmail.com,2025-11-25T02:54:27,217.21,43.44,173.77,social,test
ORD00000142,wei.adams901@hey.com,2024-03-27T02:51:38,125.92,25.18,100.74,social,shipped
ORD00000143,owen.hill438@hey.com,2025-05-22T18:50:57,61.32,12.26,49.06,direct,completed
ORD00000144,Nora.Rodriguez1382@gmail.com,2024-06-02T02:26:57,60.13,0.0,60.13,social,completed
ORD00000145,noor.brown354@icloud.com,2024-03-10T01:47:53,103.88,20.78,83.1,social,shipped
ORD00000146,Diego.Wright1036@yahoo.com,2025-11-11T23:36:58,132.02,0.0,132.02,referral,completed
ORD00000147,julia.white731@gmail.com,2026-04-11T01:51:24,147.11,0.0,147.11,organic_search,completed
ORD00000148,Cameron.Sanchez900148@outlook.com,2025-05-13T05:50:07,51.68,0.0,51.68,email,completed
ORD00000149,elena.nguyen900149@outlook.com,2024-08-19T19:09:08,230.38,0.0,230.38,referral,completed
ORD00000150,hayden.smith189@gmail.com,2026-01-12T11:57:58,107.86,21.57,86.29,paid_search,completed
ORD00000151,nora.ramirez900151@duck.com,2026-02-15T12:19:37,46.13,0.0,46.13,paid_search,completed
ORD00000152,emerson.hernandez236@hey.com,2024-07-02T10:18:43,305.35,30.54,274.81,social,completed
ORD00000153,Luna.Hill1240@duck.com,2024-05-18T14:58:52,53.84,5.38,48.46,social,completed
ORD00000154,Leo.Jackson1264@hey.com,2025-11-24T14:23:28,60.56,0.0,60.56,referral,delivered
ORD00000155,logan.smith1909@fastmail.com,2024-11-28T13:49:29,27.4,5.48,21.92,paid_search,completed
ORD00000156,stella.perez27@duck.com,2025-12-08T08:25:36,232.96,0.0,232.96,direct,completed
ORD00000157,jamie.walker184@protonmail.com,2025-09-05T06:36:11,224.49,0.0,224.49,email,delivered
ORD00000158,reese.thomas275@yahoo.com,2025-03-21T09:26:02,140.82,0.0,140.82,direct,completed
ORD00000159,Sage.Rossi900159@hey.com,2024-04-12T13:18:48,286.51,0.0,286.51,paid_search,delivered
ORD00000160,Jordan.Brown262@fastmail.com,2026-02-10T09:01:34,290.87,0.0,290.87,paid_search,completed
ORD00000161,kendall.nguyen390@icloud.com,2025-07-11T17:05:21,199.15,39.83,159.32,email,completed
ORD00000162,taylor.scott55@icloud.com,2024-04-26T10:18:05,312.51,0.0,312.51,organic_search,shipped
ORD00000163,yuki.rodriguez900163@fastmail.com,2026-01-14T13:59:26,92.32,9.23,83.09,email,delivered
ORD00000164,Theo.Torres907@gmail.com,2024-05-12T14:57:29,159.46,31.89,127.57,organic_search,completed
ORD00000165,riley.king576@gmail.com,2024-06-15T06:43:42,129.7,0.0,129.7,paid_search,completed
ORD00000166,Stella.Allen1454@outlook.com,2024-02-20T07:19:30,98.65,0.0,98.65,organic_search,shipped
ORD00000167,nora.chen900167@duck.com,2025-04-23T20:44:26,223.67,0.0,223.67,social,completed
ORD00000168,Felix.Johnson870@duck.com,2025-01-17T07:10:52,99.18,0.0,99.18,paid_search,completed
ORD00000169,quinn.anderson5@fastmail.com,2024-04-02T06:32:08,272.67,54.53,218.14,organic_search,completed
ORD00000170,Mira.Torres1508@outlook.com,2024-12-23T01:27:50,48.63,4.86,43.77,email,completed
ORD00000171,mateo.martin867@fastmail.com,2026-04-25T15:40:58,19.4,0.0,19.4,referral,shipped
ORD00000172,zoe.jackson1213@gmail.com,2024-06-17T01:18:10,341.36,0.0,341.36,social,delivered
ORD00000173,emerson.davis927@protonmail.com,2024-03-24T16:54:24,169.75,0.0,169.75,email,completed
ORD00000174,parker.clark589@fastmail.com,2026-04-04T09:42:40,334.55,33.46,301.09,email,shipped
ORD00000175,luna.young1441@gmail.com,2024-01-28T01:49:22,204.32,0.0,204.32,email,delivered
ORD00000176,sage.young915@icloud.com,2025-10-29T04:21:29,214.71,21.47,193.24,organic_search,delivered
ORD00000177,JORDAN.LEWIS407@FASTMAIL.COM,2024-11-07T06:10:17,218.33,0.0,218.33,social,shipped
ORD00000178,Sam.Anderson894@protonmail.com,2024-05-02T14:51:03,133.33,0.0,133.33,direct,completed
ORD00000179,maya.chen972@protonmail.com,2024-03-30T10:46:15,343.24,34.32,308.92,social,completed
ORD00000180,Leo.Hill900180@gmail.com,2024-06-29T22:40:18,31.94,6.39,25.55,social,completed
ORD00000181,jordan.johnson900181@protonmail.com,2026-04-24T21:14:27,272.37,54.47,217.9,organic_search,delivered
ORD00000182,Noor.Torres1757@duck.com,2025-02-22T17:47:08,207.35,0.0,207.35,paid_search,completed
ORD00000183,kendall.scott352@gmail.com,2026-02-18T13:48:12,27.7,5.54,22.16,email,delivered
ORD00000184,REESE.JACKSON1903@OUTLOOK.COM,2026-04-02T01:33:19,346.55,0.0,346.55,referral,shipped
ORD00000185,luna.rodriguez1403@yahoo.com,2025-10-06T00:31:24,143.04,28.61,114.43,referral,shipped
ORD00000186,casey.hernandez900186@icloud.com,2024-03-17T06:44:10,177.48,35.5,141.98,email,completed
ORD00000187,sam.anderson894@protonmail.com,2026-03-11T15:03:41,239.36,47.87,191.49,email,completed
ORD00000188,Aiden.Smith900188@outlook.com,2025-02-14T06:52:23,70.32,7.03,63.29,referral,completed
ORD00000189,zoe.mueller1055@fastmail.com,2026-04-19T17:10:37,297.82,0.0,297.82,organic_search,completed
ORD00000190,yuki.nakamura1350@gmail.com,2025-02-07T02:32:37,46.85,9.37,37.48,organic_search,delivered
ORD00000191,sage.martin1219@icloud.com,2025-11-27T20:17:03,316.78,0.0,316.78,organic_search,completed
ORD00000192,theo.walker1100@yahoo.com,2025-03-26T03:17:01,325.81,65.16,260.65,organic_search,completed
ORD00000193,noor.moore900193@protonmail.com,2024-09-06T15:56:19,268.87,26.89,241.98,email,completed
ORD00000194,WEI.ADAMS901@HEY.COM,2025-08-03T16:14:50,161.62,0.0,161.62,direct,completed
ORD00000195,julia.chen95@duck.com,2025-05-12T09:51:07,173.55,0.0,173.55,paid_search,shipped
ORD00000196,ivan.thomas613@hey.com,2024-05-22T03:30:19,271.14,0.0,271.14,paid_search,shipped
ORD00000197,avery.rodriguez1209@duck.com,2024-09-13T20:40:25,215.97,21.6,194.37,direct,completed
ORD00000198,amara.thomas1540@icloud.com,2026-01-11T04:54:31,237.64,0.0,237.64,email,completed
ORD00000199,ravi.lewis241@duck.com,2024-05-17T09:10:10,279.69,27.97,251.72,organic_search,completed
ORD00000200,sana.adams1130@protonmail.com,2024-10-02T00:07:48,178.31,35.66,142.65,direct,shipped
ORD00000201,FELIX.CLARK1595@GMAIL.COM,2025-09-10T12:24:46,75.88,0.0,75.88,direct,completed
ORD00000202,ivan.hill770@icloud.com,2025-01-21T06:31:38,-256.32,0.0,-205.06,social,refunded
ORD00000203,ravi.martin639@protonmail.com,2025-11-20T15:31:21,18.89,3.78,15.11,email,completed
ORD00000204,rowan.ramirez1911@outlook.com,2025-01-12T17:35:20,291.55,29.16,262.39,email,completed
ORD00000205,theo.green1981@gmail.com,2024-12-10T20:51:22,104.08,10.41,93.67,direct,completed
ORD00000206,noor.white1802@gmail.com,2025-02-05T14:45:21,147.39,0.0,147.39,direct,delivered
ORD00000207,theo.anderson45@hey.com,2024-04-08T12:05:43,44.88,0.0,44.88,paid_search,completed
ORD00000208,IVAN.WILLIAMS1549@ICLOUD.COM,2025-01-20T16:44:29,134.85,26.97,107.88,referral,completed
ORD00000209,stella.hernandez221@outlook.com,2026-01-08T01:23:56,256.1,0.0,256.1,email,completed
ORD00000210,aiden.rodriguez521@icloud.com,2026-03-04T21:05:06,-46.62,0.0,-46.62,referral,refunded
ORD00000211,THEO.MILLER1856@DUCK.COM,2025-04-14T06:39:47,181.02,0.0,181.02,organic_search,shipped
ORD00000212,Taylor.Singh64@yahoo.com,2025-03-25T04:22:27,106.66,21.33,85.33,social,completed
ORD00000213,logan.ramirez1516@yahoo.com,2024-04-11T11:48:44,273.75,0.0,273.75,referral,delivered
ORD00000214,theo.martinez1119@icloud.com,2026-04-29T06:36:59,196.25,0.0,196.25,social,delivered
ORD00000215,parker.martinez556@hey.com,2025-02-24T18:46:06,153.59,0.0,153.59,paid_search,delivered
ORD00000216,parker.lewis807@yahoo.com,2025-02-15T16:54:08,197.88,39.58,158.3,referral,completed
ORD00000217,wei.singh1191@duck.com,2025-11-15T01:18:44,119.39,23.88,95.51,social,completed
ORD00000218,cameron.mueller1204@hey.com,2025-05-02T02:12:09,284.2,0.0,284.2,organic_search,completed
ORD00000219,theo.white1391@gmail.com,2026-01-12T04:03:40,348.22,0.0,348.22,referral,completed
ORD00000220,owen.garcia144@yahoo.com,2025-10-18T07:16:35,243.73,0.0,243.73,paid_search,delivered
ORD00000221,Hayden.Moore1137@yahoo.com,2024-11-17T18:47:46,156.12,0.0,156.12,social,completed
ORD00000222,felix.gonzalez1186@fastmail.com,2025-08-01T11:38:41,215.83,21.58,194.25,social,test
ORD00000223,ravi.mueller1343@duck.com,2025-04-12T19:02:34,285.34,0.0,285.34,direct,completed
ORD00000224,TAYLOR.JOHNSON600@OUTLOOK.COM,2025-08-05T14:40:43,243.61,0.0,243.61,referral,delivered
ORD00000225,taylor.torres1018@outlook.com,2025-05-22T18:45:50,279.37,0.0,279.37,paid_search,test
ORD00000226,stella.green636@duck.com,2025-07-19T17:53:41,179.16,17.92,161.24,email,completed
ORD00000227,AIDEN.THOMAS1602@PROTONMAIL.COM,2025-05-10T10:39:22,338.19,0.0,338.19,direct,completed
ORD00000228,Theo.White496@duck.com,2025-07-28T01:03:52,101.46,10.15,91.31,social,completed
ORD00000229,Kendall.Davis689@duck.com,2024-03-25T04:26:21,51.31,0.0,51.31,direct,completed
ORD00000230,alex.singh900230@hey.com,2024-10-17T02:05:57,54.67,0.0,54.67,email,shipped
ORD00000231,blair.lee1805@fastmail.com,2026-01-06T06:04:41,119.06,0.0,119.06,email,shipped
ORD00000232,ivan.brown161@icloud.com,2024-06-04T05:05:24,45.92,9.18,36.74,email,delivered
ORD00000233,ivan.walker122@hey.com,2026-04-13T23:14:07,20.03,2.0,18.03,direct,shipped
ORD00000234,JAMIE.HERNANDEZ1012@FASTMAIL.COM,2024-07-17T14:40:25,80.62,0.0,80.62,paid_search,completed
ORD00000235,Felix.Kim1608@gmail.com,2025-02-28T09:31:36,164.45,16.45,148.0,email,shipped
ORD00000236,hana.lopez1495@fastmail.com,2024-09-12T17:37:25,32.91,6.58,26.33,email,shipped
ORD00000237,luna.gonzalez880@protonmail.com,2025-08-22T10:15:20,305.24,61.05,244.19,organic_search,completed
ORD00000238,LEO.LOPEZ900238@FASTMAIL.COM,2026-03-09T13:24:02,73.57,0.0,73.57,organic_search,completed
ORD00000239,drew.lee1799@gmail.com,2025-02-20T20:59:25,30.79,3.08,27.71,email,completed
ORD00000240,wei.nakamura956@fastmail.com,2024-08-14T05:55:37,306.41,0.0,306.41,organic_search,completed
ORD00000241,DIEGO.KING1460@OUTLOOK.COM,2025-03-19T10:56:32,272.87,54.57,218.3,referral,shipped
ORD00000242,Felix.Young1271@hey.com,2024-05-11T20:03:47,166.0,16.6,149.4,paid_search,completed
ORD00000243,Sana.Anderson1389@hey.com,2026-01-30T01:52:29,71.86,0.0,71.86,direct,completed
ORD00000244,yuki.garcia1838@duck.com,2024-01-20T14:20:35,234.44,0.0,234.44,organic_search,shipped
ORD00000245,Jordan.Moore900245@fastmail.com,2024-10-28T22:20:15,26.12,5.22,20.9,paid_search,delivered
ORD00000246,cameron.nguyen296@hey.com,2024-12-22T10:02:27,125.89,0.0,125.89,email,test
ORD00000247,Avery.Flores1767@icloud.com,2024-06-10T07:19:21,187.43,18.74,168.69,social,completed
ORD00000248,Devon.Young137@outlook.com,2025-06-20T11:13:20,346.28,0.0,346.28,email,completed
ORD00000249,emerson.mueller875@icloud.com,2026-04-06T00:35:28,85.44,17.09,68.35,email,shipped
ORD00000250,zoe.harris445@gmail.com,2024-06-15T10:57:30,20.22,0.0,20.22,paid_search,completed
ORD00000251,HANA.WILLIAMS934@ICLOUD.COM,2026-03-07T03:05:56,236.46,47.29,189.17,referral,delivered
ORD00000252,MAYA.ADAMS871@ICLOUD.COM,2026-03-30T17:51:01,187.35,0.0,187.35,referral,completed
ORD00000253,Parker.Young900253@yahoo.com,2024-06-11T13:47:19,106.87,10.69,96.18,referral,shipped
ORD00000254,leo.singh1659@hey.com,2026-04-19T13:19:31,265.48,26.55,238.93,referral,completed
